cluster_id	ContamPct
702	412.3
703	216.7
704	842.6
705	390.0
706	693.1
707	184.0
708	314.6
709	0.0
710	48.7
711	4.9
712	100.0
713	3572.2
714	100.0
715	3196.3
716	612.3
717	6936.1
718	0.7
719	0.0
720	8.3
721	100.0
722	0.0
723	100.0
724	58.9
725	37.0
726	0.0
727	0.0
728	0.0
729	0.0
730	100.0
731	0.0
732	0.0
733	0.0
734	62.0
735	114.0
736	0.0
737	0.0
738	2495.0
739	0.0
740	813.6
741	0.0
742	100.0
743	0.0
744	0.0
745	100.0
746	0.0
747	0.0
748	100.0
749	0.8
751	9.7
752	9.0
754	1.6
757	3.5
759	3.9
762	0.7
763	3.0
764	1.0
766	0.8
767	8.7
769	1.9
770	1.0
772	2.2
773	4.4
774	0.7
