cluster_id	Amplitude	ContamPct	KSLabel	amp	ch	depth	fr	group	n_spikes	neuron_type	sh	unstable
175	2083.40000000	1.10000000	good	64.83367157	128	1320.00000000	5.18085790	mua	20694		0	
176	1245.40000000	0.00000000	mua	102.11001587	130	1340.00000000	0.06659458		266		0	
177	3406.30000000	4.70000000	good	123.97839355	126	1300.00000000	17.69513077	mua	70680		0	
178	1272.60000000	50.00000000	mua	111.61981201	125	1300.00000000	1.94050592		7751		0	
179	1345.60000000	0.00000000	good	110.34385681	130	1340.00000000	0.41283631		1649		0	
181	1443.80000000	0.00000000	good	82.90053558	133	1380.00000000	96.20788524	good	384285	pNuc	0	
182	1871.90000000	0.00000000	good	116.72243500	135	1400.00000000	0.59359303		2371		0	
183	1697.90000000	0.00000000	good	81.27267456	135	1400.00000000	1.63732534		6540		0	
184	1449.40000000	31.50000000	mua	116.55667114	137	1420.00000000	3.02955260		12101		0	
185	967.50000000	100.00000000	good	85.74618530	149	1540.00000000	0.01877667		75		0	
186	1337.10000000	0.00000000	mua	108.59841919	140	1440.00000000	0.11291036		451		0	
187	776.70000000	0.70000000	good	86.23255920	139	1440.00000000	36.31657711	mua	145060		0	
188	1700.60000000	235.30000000	mua	129.68121338	141	1460.00000000	0.10189471		407		0	
189	1084.80000000	0.00000000	mua	89.95371246	141	1460.00000000	0.01076529		43		0	
190	763.70000000	100.00000000	good	68.16783142	142	1460.00000000	0.00650924		26		0	
191	1116.90000000	100.00000000	mua	98.19246674	146	1500.00000000	0.00525747		21		0	
193	1264.70000000	0.00000000	mua	106.71212769	134	1380.00000000	0.02228164		89		0	
195	1443.90000000	0.00000000	mua	119.83206940	147	1520.00000000	0.05132289		205		0	
197	1543.10000000	0.00000000	mua	130.22512817	144	1480.00000000	0.02403413		96		0	
198	800.20000000	0.00000000	good	74.75617981	145	1500.00000000	0.50697000		2025		0	
199	1391.50000000	0.00000000	mua	110.83419800	143	1480.00000000	0.04731720		189		0	
200	2052.30000000	2.10000000	good	122.84542084	144	1480.00000000	31.83571335	mua	127162		0	
201	1196.70000000	4.70000000	good	111.31717682	145	1500.00000000	40.86128153	mua	163213		0	
203	1457.00000000	0.00000000	mua	125.65973663	143	1480.00000000	0.00951351		38		0	
204	1703.50000000	116.80000000	mua	128.66743469	149	1540.00000000	0.57832134		2310		0	
205	898.80000000	0.00000000	good	86.23978424	147	1520.00000000	0.39230716		1567		0	
206	1662.40000000	249.90000000	mua	110.49493408	150	1560.00000000	1.19770098		4784		0	
207	913.80000000	100.00000000	mua	76.75640869	154	1600.00000000	0.01226742		49		0	
208	1553.30000000	0.00000000	mua	132.73620605	149	1540.00000000	0.00550782		22		0	
209	3814.40000000	72.00000000	mua	151.78527832	149	1540.00000000	1.59676774		6378		0	
211	3886.30000000	74.70000000	mua	180.61404419	149	1540.00000000	2.63949864		10543		0	
212	2615.50000000	8.80000000	good	175.22195435	150	1560.00000000	11.25999153	mua	44976		0	
214	1171.40000000	0.00000000	mua	100.56501007	151	1560.00000000	0.03730298		149		0	
216	1677.50000000	0.00000000	good	141.46595764	157	1620.00000000	1.20821592		4826		0	
219	1588.50000000	0.00000000	mua	127.12681580	153	1580.00000000	0.06984920		279		0	
220	2120.40000000	0.00000000	mua	173.80332947	153	1580.00000000	0.01026458		41		0	
221	2193.60000000	0.00000000	mua	180.69824219	153	1580.00000000	0.11541391		461		0	
222	1669.50000000	0.00000000	mua	144.10678101	153	1580.00000000	0.05232431		209		0	
223	1551.40000000	0.10000000	good	112.07305145	154	1600.00000000	2.51782584		10057		0	
224	1791.50000000	63.40000000	mua	157.78257751	155	1600.00000000	2.25770641		9018		0	
225	1680.10000000	0.00000000	mua	143.32913208	155	1600.00000000	0.04932004		197		0	
226	1030.70000000	0.00000000	mua	87.34727478	161	1660.00000000	0.02102987		84		0	
227	2101.00000000	17.70000000	mua	115.99234772	157	1620.00000000	0.88075085		3518		0	
228	1579.10000000	58.80000000	mua	109.41752625	162	1680.00000000	0.25986907		1038		0	
229	1300.00000000	87.80000000	mua	105.86877441	162	1680.00000000	0.26687902		1066		0	
230	1996.30000000	28.10000000	mua	119.55732727	158	1640.00000000	1.06451183		4252		0	
231	1452.30000000	322.80000000	mua	100.62841034	160	1660.00000000	7.90522707	mua	31576		0	
232	1795.40000000	0.00000000	good	179.98576355	161	1660.00000000	0.18150778		725		0	
233	1481.40000000	181.30000000	mua	120.33290863	161	1660.00000000	1.01193716		4042		0	
234	371.00000000	533.30000000	mua	30.95328140	166	1720.00000000	0.07185204		287		0	
235	1460.20000000	0.00000000	mua	125.49525452	162	1680.00000000	0.00575818		23		0	
236	2413.80000000	153.10000000	mua	187.28582764	163	1680.00000000	1.27430979		5090		0	
237	1268.50000000	100.00000000	good	123.55139160	163	1680.00000000	0.00600853		24		0	
238	1682.70000000	17.40000000	mua	123.61305237	164	1700.00000000	11.94771825	mua	47723		0	
239	1213.30000000	585.00000000	mua	85.14993286	165	1700.00000000	0.03379800		135		0	
240	2436.50000000	419.00000000	mua	168.81803894	165	1700.00000000	0.23082782		922		0	
241	1884.80000000	0.00000000	mua	166.66244507	165	1700.00000000	0.02904124		116		0	
242	1918.80000000	100.00000000	mua	164.04391479	165	1700.00000000	0.00650924		26		0	
243	1867.00000000	100.00000000	good	172.32931519	165	1700.00000000	0.00075107		3		0	
244	1780.10000000	100.00000000	good	163.71777344	165	1700.00000000	0.01902702		76		0	
245	1697.70000000	32.00000000	mua	145.92895508	166	1720.00000000	1.98857419		7943		0	
246	1030.50000000	0.00000000	mua	87.19363403	166	1720.00000000	0.01702418		68		0	
247	1218.50000000	800.00000000	mua	96.49003601	169	1740.00000000	0.01351920		54		0	
248	401.90000000	0.00000000	good	46.04400635	174	1800.00000000	1.37420165		5489		0	
249	1274.40000000	0.00000000	good	119.00151062	171	1760.00000000	0.34073391		1361		0	
250	1385.20000000	0.00000000	mua	123.42330933	168	1740.00000000	0.02728876		109		0	
251	708.70000000	240.00000000	mua	55.87564850	168	1740.00000000	0.03129444		125		0	
252	919.80000000	11.30000000	mua	75.33576965	170	1760.00000000	7.03524151	mua	28101		0	
253	1734.20000000	0.20000000	good	95.74786377	172	1780.00000000	46.83126015	good	187059	pNuc	0	y
255	737.30000000	0.00000000	mua	61.21554184	171	1760.00000000	0.01251778		50		0	
257	1135.20000000	14.30000000	mua	96.37607574	174	1800.00000000	1.04323161		4167		0	
263	917.70000000	0.00000000	mua	70.41462708	171	1760.00000000	0.07310382		292		0	
264	1414.10000000	86.70000000	mua	122.76782990	178	1840.00000000	0.15021333		600		0	
265	1228.00000000	0.90000000	good	84.63354492	178	1840.00000000	49.95845141	good	199550	pNuc	0	y
266	1549.60000000	612.50000000	mua	101.35337830	178	1840.00000000	0.07510667		300		0	
267	836.80000000	0.00000000	mua	63.84158325	178	1840.00000000	0.08487053		339		0	
269	769.20000000	9.40000000	good	80.64992523	179	1840.00000000	5.69909390	mua	22764		0	
271	2118.50000000	1.70000000	good	122.16770935	180	1860.00000000	37.51803342	good	149859	pNuc	0	y
272	1522.60000000	0.00000000	mua	117.19274139	180	1860.00000000	0.03530013		141		0	
275	823.40000000	21.60000000	mua	65.36059570	181	1860.00000000	5.27824621	mua	21083		0	
276	2175.40000000	386.40000000	mua	129.30654907	183	1880.00000000	0.65618192		2621		0	
277	1256.20000000	425.50000000	mua	85.48231506	186	1920.00000000	0.03229587		129		0	
278	2013.10000000	0.20000000	good	125.02925110	182	1880.00000000	50.94560337	good	203493	pNuc	0	
