cluster_id	Amplitude
206	1662.4
207	913.8
208	1553.3
209	3814.4
211	3886.3
212	2615.5
214	1171.4
216	1677.5
219	1588.5
220	2120.4
221	2193.6
222	1669.5
223	1551.4
224	1791.5
225	1680.1
226	1030.7
227	2101.0
228	1579.1
229	1300.0
230	1996.3
231	1452.3
232	1795.4
233	1481.4
234	371.0
235	1460.2
236	2413.8
237	1268.5
238	1682.7
239	1213.3
240	2436.5
241	1884.8
242	1918.8
243	1867.0
244	1780.1
245	1697.7
246	1030.5
247	1218.5
248	401.9
249	1274.4
250	1385.2
251	708.7
252	919.8
253	1734.2
255	737.3
257	1135.2
263	917.7
264	1414.1
265	1228.0
266	1549.6
267	836.8
269	769.2
271	2118.5
272	1522.6
275	823.4
276	2175.4
277	1256.2
278	2013.1
279	1390.0
285	820.8
287	1260.3
288	946.6
289	3326.3
292	899.3
293	582.3
295	1397.8
296	1590.3
297	1333.6
298	3516.9
299	1219.6
300	1097.3
301	2126.8
303	1147.3
304	1303.2
309	583.6
313	756.1
314	652.3
316	2009.8
320	859.9
321	975.7
322	1027.7
323	850.2
324	279.2
325	1026.9
326	279.4
327	338.4
328	290.5
329	292.5
330	358.1
331	270.1
332	420.6
333	8531.9
334	916.8
335	2999.7
336	1708.7
337	1265.6
338	1611.4
339	1992.1
340	2531.9
341	4231.4
342	2686.4
343	1878.4
344	2921.9
345	2433.9
346	1176.6
347	2604.3
348	3402.5
349	1432.3
350	1611.5
351	1083.1
352	1164.8
353	1153.8
354	1025.4
355	1695.1
356	2284.3
357	1348.6
358	1618.2
359	1189.2
360	3157.6
361	2298.2
362	1293.0
363	1657.4
364	1516.6
365	1944.1
366	1176.1
367	1674.0
368	1645.4
369	1150.3
370	1305.2
371	3843.8
372	4224.9
373	4954.2
374	2165.5
375	1296.8
376	1317.4
377	1515.3
378	1620.5
379	1959.1
380	1002.3
381	2060.9
382	751.7
383	1384.0
384	878.5
385	4595.5
386	1605.3
387	1031.7
388	1510.3
389	996.6
390	1185.4
391	995.1
392	1459.4
393	1096.2
394	1193.5
395	1977.5
396	2309.2
397	2661.4
398	3125.4
399	2155.3
400	1172.9
401	1440.9
402	2331.9
403	1903.5
404	4213.9
405	2694.1
406	1005.3
407	1065.4
408	898.6
409	818.8
410	1959.5
411	1648.2
412	3430.9
413	1821.3
414	1431.4
415	1319.1
416	361.9
417	351.4
418	1856.3
419	983.0
420	878.4
421	1733.5
422	1033.5
423	2090.2
424	2707.5
425	1804.5
426	2550.8
427	2040.9
428	1937.5
429	1342.6
430	1550.7
431	1622.1
432	1724.5
433	1790.5
434	1196.1
435	820.1
436	2180.6
437	1968.3
438	1930.6
439	1358.8
440	1632.3
441	2599.5
442	2176.2
443	1568.6
444	2158.4
446	816.7
448	1460.9
